date,from,text
2/3/2011,shellterrell,via @profesortbaker unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl ... http://bit.ly/ibes7p #edchat
2/3/2011,blog4edu,via @profesortbaker unity is strength: a collaborative writing lesson plan #cck11 #eltchat #edtech #esl ... http://bit.ly/ibes7p #edchat
2/3/2011,leahgrrl,@daisygrisolia well yeah. but that wasn't the point of link for cck11 folks...
2/3/2011,profesortbaker,#cck11 connective knowledge: http://t.co/qeugkjo
2/3/2011,larswas,"new #cck11 post at http://t.co/nbuh8tl about connectivity, chaos and freedom! enjoy..."
2/3/2011,steelemaley,"@oldaily ""e-learning has been based on centralized systems.these centralized systems,such as the lms, are like a dysfunctional crutch""#cck11"
2/3/2011,steelemaley,"democratize, dynamize and desegregate learning.....slide 12-14   #cck11"
2/3/2011,daisygrisolia,"rt @graemeferris: new blog post ""the nature vs nurture debate"": http://bit.ly/duafye #cck11"
2/3/2011,steelemaley,"@oldaily  points on ""bundles""  slide 10 line up with so many critiques of us ""schooling"" #cck11"
2/3/2011,steelemaley,"who are your mediators in education?  do you need ""gatekeepers""? #cck11  listening to  http://bit.ly/hfzqnh"
2/3/2011,steelemaley,"thinking about @oldaily ""learning networks as resource v institution based""  about ""opening access and opening flow""  #cck11"
2/7/2011,jaapsoft,"http://bit.ly/gwgfnc constructivism, connectivism and realism #cck11"
2/7/2011,helinur,rt @downes: #cck11 someone on wikipedia really really hates connectivism http://bit.ly/h7snkn and has recommended it for deletion http://bit.ly/bepa2b
2/7/2011,creativeducator,i've been thinking a lot about networks in teaching and learning and the school of thought that is 'connectivism'.
2/7/2011,biancah80,@pipcleaves i failed on #cck11 not looking good for post-grad studies this year with my workload at school #sadbuttrue
2/7/2011,tonysearl,@djplaner thanks for the connectivism talk link. some interesting debate on a whole host of issues
2/7/2011,kukharenko,rt @gsiemens: i took a short dive into the black hole of connectivism criticism on wikipedia: http://en.wikipedia.org/wiki/talk:connectivism #cck11
2/7/2011,djplaner,"@tonysearl appears level of commonality with discussion here http://en.wikipedia.org/wiki/talk:connectivism, same origins as well #lak11"
2/7/2011,francesbell,"rt @ai1sa: what is connectivism, yearning for criticism :) my blogpost  http://bit.ly/hqronn cck11#"
2/7/2011,isossalford,"rt @ai1sa: what is connectivism, yearning for criticism :) my blogpost  http://bit.ly/hqronn cck11#"
2/7/2011,ai1sa,"what is connectivism, yearning for criticism :) my blogpost  http://bit.ly/hqronn cck11#"
2/7/2011,junita55,rt @gsiemens: i took a short dive into the black hole of connectivism criticism on wikipedia: http://en.wikipedia.org/wiki/talk:connectivism #cck11
2/7/2011,hope4learning,"@snbeach student-involved and transparent assessment. brain theory re: motivation, multitasking, constructivism, connectivism."
2/7/2011,carolskyring,whoa - quite a black hole @gsiemens - connectivism criticism on wikipedia: http://en.wikipedia.org/wiki/talk:connectivism
2/7/2011,zbpipe,reading- and what the?rt @gsiemens  wikipedia http://en.wikipedia.org/wiki/talk:connectivism #cck11
2/7/2011,marcosabarros,rt @gsiemens: i took a short dive into the black hole of connectivism criticism on wikipedia: http://en.wikipedia.org/wiki/talk:connectivism #cck11
2/7/2011,gsiemens,i took a short dive into the black hole of connectivism criticism on wikipedia: http://en.wikipedia.org/wiki/talk:connectivism #cck11
2/7/2011,aeratcliffe,connectivism and social constructivism what's the difference? in blog of @lindsayjordan: http://bit.ly/gae0p5 #phdchat
2/7/2011,ai1sa,rt @francesbell: unsure wikipedia place 4 (needd) connectivsm critique http://bit.ly/ejbjur  frances started hre http://bit.ly/gaukk0 cck11#
2/7/2011,martin_brideau,rt @downes: #cck11 someone on wikipedia really really hates connectivism http://bit.ly/h7snkn and has recommended it for deletion http://bit.ly/bepa2b
2/7/2011,ai1sa,rt @francesbell: unsure wikipedia is place 4 (needd) connectivism critique http://bit.ly/ejbjur i started hre http://bit.ly/gaukk0
2/7/2011,blanchardsamuel,rt @downes: #cck11 someone on wikipedia really really hates connectivism http://bit.ly/h7snkn and has recommended it for deletion http://bit.ly/bepa2b
2/6/2011,francesbell,unsure wikipedia is place for (needed) connectivism critique http://bit.ly/ejbjur i started here  http://bit.ly/gaukk0  to follow in irrodl
2/6/2011,gordon_l,tagged some wikipedia articles for wk4 readings; http://www.delicious.com/gbl/cck11 #cck11
2/6/2011,profesortbaker,check out the new #cck11 daily! http://t.co/gm7rict posts by @jaapsoft @shellterrell @profesortbaker @newfacmajority @saadat_m @zaidlearn
2/6/2011,profesortbaker,#eltchat: pronunciation dreams #cck11 http://nblo.gs/dwwfg
2/6/2011,profesortbaker,#eltchat: pronunciation dreams #cck11 http://wp.me/pdhw0-jn
2/6/2011,shellterrell,via @profesortbaker #eltchat: pronunciation dreams #cck11 http://bit.ly/hzt7dx #edchat
2/6/2011,jaapsoft,twuster #softskills  good night #cck11
