Position,Parties,Buts,Aides,Points,+/-,Minutes de punition,Tirs au but,Buts vainqueurs,Buts AN,Aides AN,Mises en échec,Tirs blockés
D,69,7,12,19,21,33,128,1,0,0,44,167
AG,82,7,12,19,-1,55,91,0,0,1,206,43
D,82,7,34,41,21,20,149,2,1,4,71,154
C,61,7,10,17,-11,20,107,0,0,0,50,26
D,80,7,18,25,8,38,144,1,0,0,124,143
C,55,7,16,23,-6,33,78,1,4,2,24,15
C,71,7,13,20,6,14,87,2,0,0,32,31
AD,72,7,8,15,-8,30,67,0,0,0,40,48
D,82,7,40,47,-8,41,136,2,3,12,78,109
AD,63,7,12,19,-5,28,141,1,2,4,46,19
AD,52,7,10,17,7,14,76,3,1,0,89,25
AG,77,7,11,18,-7,42,102,2,0,0,208,40
AD,70,7,13,20,0,31,129,1,2,5,140,30
AG,82,7,10,17,4,76,84,3,0,0,125,68
C,54,7,20,27,-4,16,130,0,1,5,16,14
AD,40,7,18,25,-12,8,62,2,5,3,5,12
C,42,7,5,12,-8,16,35,0,0,1,101,25
AD,63,7,20,27,-10,18,105,1,1,8,15,21
C,58,7,7,14,-7,20,111,2,0,0,117,24
D,82,7,19,26,-16,32,145,1,0,2,123,149
D,56,7,8,15,-25,20,79,0,4,4,34,82
AD,65,7,5,12,-22,20,108,0,1,0,66,9
D,52,7,9,16,-20,16,71,1,4,5,18,50
D,54,7,21,28,14,45,79,3,1,1,92,91
C,50,7,9,16,-10,14,66,0,0,1,40,21
AG,36,7,4,11,7,6,40,2,0,0,29,9
AG,50,6,6,12,1,8,60,1,0,0,79,19
D,71,6,19,25,24,60,111,3,0,0,84,135
C,41,6,4,10,-4,15,39,1,0,0,77,22
C,49,6,11,17,-9,27,88,1,0,1,67,34
D,75,6,26,32,12,28,128,0,0,6,97,93
C,66,6,17,23,-16,14,74,1,0,2,64,47
C,22,6,5,11,2,8,33,0,0,2,9,6
D,73,6,20,26,-16,35,132,1,2,11,138,98
C,72,6,8,14,-3,47,99,2,0,0,221,36
C,43,6,7,13,-1,6,37,0,0,0,16,13
C,54,6,12,18,-1,8,65,3,0,3,10,24
D,71,6,14,20,-3,12,77,0,3,4,58,139
C,76,6,9,15,2,6,108,0,0,0,71,51
AG,78,6,11,17,1,22,106,1,1,0,68,32
C,70,6,3,9,-14,33,74,2,0,0,92,46
D,82,6,34,40,13,70,141,1,0,3,42,144
AD,31,6,4,10,-16,27,59,1,2,2,21,14
C,32,6,7,13,-6,14,68,1,1,0,21,7
AG,79,6,14,20,-9,91,74,0,2,2,259,22
AG,71,6,13,19,-14,38,95,0,1,1,185,34
C,61,6,8,14,-16,36,63,0,0,0,147,28
AG,67,6,8,14,5,53,62,1,0,0,275,42
D,63,6,7,13,-13,26,83,1,0,0,53,75
C,73,6,8,14,-8,37,79,0,0,0,112,44
C,41,6,5,11,-2,8,27,1,0,0,30,18
C,28,6,4,10,7,15,33,1,0,0,52,14
D,57,6,11,17,12,31,102,3,0,0,107,64
AG,67,6,12,18,-1,32,65,1,0,0,96,29
C,67,6,16,22,9,23,94,2,0,0,106,50
D,59,6,25,31,9,14,95,2,3,7,55,107
C,81,6,19,25,-4,24,105,0,0,1,28,44
D,64,6,47,53,-2,33,151,2,2,28,53,60
D,76,6,22,28,-5,44,125,0,1,5,81,133
AG,82,6,20,26,18,42,78,1,0,0,203,38
AG,63,6,18,24,-3,34,79,0,0,5,143,14
AG,58,5,14,19,7,30,99,2,0,0,64,20
D,61,5,23,28,-11,16,167,2,1,10,44,102
D,52,5,8,13,12,40,84,1,0,0,119,91
D,42,5,7,12,-2,8,75,1,4,4,18,28
C,53,5,15,20,6,6,35,1,0,2,13,21
C,53,5,8,13,-2,10,81,0,0,0,32,20
D,82,5,15,20,-3,63,86,1,0,0,258,158
D,78,5,38,43,-41,38,182,2,1,16,235,121
D,78,5,16,21,22,24,110,0,0,0,149,116
D,69,5,15,20,-23,43,114,1,1,7,55,102
D,52,5,15,20,2,39,59,3,0,0,79,94
D,70,5,12,17,11,33,94,0,0,1,109,59
AD,64,5,6,11,-13,0,36,0,0,0,38,33
C,72,5,13,18,-11,17,78,0,0,0,144,29
D,59,5,18,23,-14,20,88,2,1,5,32,91
D,78,5,15,20,6,62,111,1,0,0,171,139
AD,59,5,10,15,-2,15,116,0,0,1,89,58
AD,51,5,6,11,-8,19,58,1,0,0,88,21
D,81,5,17,22,15,39,93,1,0,0,124,128
C,69,5,8,13,-20,26,71,0,0,0,87,30
C,60,5,3,8,-19,44,86,1,1,2,93,56
AG,56,5,5,10,-7,23,44,1,0,0,85,15
D,78,5,23,28,-6,41,165,1,2,8,124,180
D,62,5,9,14,22,57,99,2,1,2,81,88
D,81,5,18,23,30,21,81,0,0,0,91,144
